Year,Country,Happiness Rank,Happiness Score,Family
2015,Switzerland,1,7.587,1.34951
2015,Iceland,2,7.561,1.40223
2015,Denmark,3,7.527,1.36058
2015,Norway,4,7.522,1.33095
2015,Canada,5,7.427,1.32261
2016,Denmark,1,7.526,1.16374
2016,Switzerland,2,7.509,1.14524
2016,Iceland,3,7.501,1.18326
2016,Norway,4,7.498,1.1269
2016,Finland,5,7.413,1.13464
2017,Norway,1,7.53700017929077,1.53352355957031
2017,Denmark,2,7.52199983596802,1.55112159252167
2017,Iceland,3,7.50400018692017,1.6105740070343
2017,Switzerland,4,7.49399995803833,1.51691174507141
2017,Finland,5,7.4689998626709,1.5402467250824
2018,Finland,1,7.632,1.592
2018,Norway,2,7.594,1.582
2018,Denmark,3,7.555,1.59
2018,Iceland,4,7.495,1.644
2018,Switzerland,5,7.487,1.549
2019,Finland,1,7.769,1.587
2019,Denmark,2,7.6,1.573
2019,Norway,3,7.554,1.582
2019,Iceland,4,7.494,1.624
2019,Netherlands,5,7.488,1.522
