Country,Happiness Rank,Happiness Score,GDP per Capita,Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,year
Finland,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,2019
Finland,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2018
Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2015
Norway,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,2017
Denmark,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2016
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,2018
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202,2019
Burundi,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015
Burundi,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2016
Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,2015
